ASN,subnet,name
8362,185.9.96.0/22,NordNet SA
8362,185.72.248.0/22,NordNet SA
8362,195.146.224.0/19,NordNet SA
8362,213.138.0.0/19,NordNet SA
8362,213.151.176.0/20,NordNet SA
8362,2a01:8e80::/29,NordNet SA
8362,2a03:3540::/29,NordNet SA
8399,37.97.64.0/19,SEWAN-FR SEWAN SAS
8399,37.97.96.0/20,SEWAN-FR SEWAN SAS
8399,37.139.120.0/21,SEWAN-FR SEWAN SAS
8399,65.39.64.0/19,SEWAN-FR SEWAN SAS
8399,80.251.96.0/20,SEWAN-FR SEWAN SAS
8399,81.93.0.0/20,SEWAN-FR SEWAN SAS
8399,81.93.16.0/20,SEWAN-FR SEWAN SAS
8399,88.213.224.0/19,SEWAN-FR SEWAN SAS
8399,155.2.128.0/19,SEWAN-FR SEWAN SAS
8399,157.143.128.0/17,SEWAN-FR SEWAN SAS
8399,178.157.16.0/20,SEWAN-FR SEWAN SAS
8399,178.157.32.0/20,SEWAN-FR SEWAN SAS
8399,178.174.96.0/20,SEWAN-FR SEWAN SAS
8399,178.255.160.0/21,SEWAN-FR SEWAN SAS
8399,185.6.92.0/22,SEWAN-FR SEWAN SAS
8399,185.8.252.0/22,SEWAN-FR SEWAN SAS
8399,185.24.140.0/22,SEWAN-FR SEWAN SAS
8399,185.32.208.0/22,SEWAN-FR SEWAN SAS
8399,185.42.176.0/22,SEWAN-FR SEWAN SAS
